NR_ZONA;NR_SECAO;NM_SECAO;ENDERECO;BAIRRO
172;164;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;165;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;166;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;167;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;168;EEEF LEOPOLDO PETRY;RUA BARTOLOMEU DE GUSMAO, 3790;CANUDOS
172;254;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;259;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;261;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;267;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;268;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;271;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;280;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;287;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;297;EEEF NO BAIRRO SANTO AFONSO;AV. BUENOS AIRES, 793;SANTO AFONSO
172;228;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;229;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;230;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;231;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;232;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;233;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;234;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;235;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;251;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;257;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;263;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;265;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;273;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;291;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;307;EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA);RUA IPIRANGA, 430;RONDONIA
172;196;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;197;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;198;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;199;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;200;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;250;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;256;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;264;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;274;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;286;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;295;EMEB ANITA GARIBALDI;RUA MUNDO NOVO, 222;CANUDOS
172;83;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;84;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;85;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;86;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;87;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;88;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;89;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;90;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;91;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;92;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;93;EMEB ARNALDO GRIN;AVENIDA MONTEVIDEO, 902;SANTO AFONSO
172;182;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;183;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;184;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;239;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;290;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;303;EMEB CASTRO ALVES;ESTRADA DA INTEGRACAO LEOPOLDO PETRY, 1055;LOMBA GRANDE
172;185;EMEB CONDE D'EU;RUA ALVINO ALBERTO JUNGBLUTH, 901 (QUILOMBO DO SUL - ZONA RURAL);LOMBA GRANDE
172;125;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;126;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;221;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;222;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;236;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;237;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;238;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;293;EMEB DARCY BORGES DE CASTILHOS;RUA TABATINGA,430;LIBERDADE
172;270;EMEB FRANCISCO XAVIER KUNST;RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS;CANUDOS
172;277;EMEB FRANCISCO XAVIER KUNST;RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS;CANUDOS
172;285;EMEB FRANCISCO XAVIER KUNST;RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS;CANUDOS
172;296;EMEB FRANCISCO XAVIER KUNST;RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS;CANUDOS
172;305;EMEB FRANCISCO XAVIER KUNST;RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS;CANUDOS
172;211;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;212;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;213;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;214;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;215;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;216;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;217;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;218;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;253;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;269;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;283;EMEB HARRY ROTH;AV. MONTEVIDEO, 540;SANTO AFONSO
172;147;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;148;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;149;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;150;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;151;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;152;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;153;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;154;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;155;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;156;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;157;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;158;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;159;EMEB JORGE EWALDO KOCH;RUA CARLOS DIENSTBACH, 308;RONDONIA
172;187;EMEB JOSE DE ANCHIETA;ESTRADA ANDRE HAUBERT, 11.740, SAO JOAO DO DESERTO (ZONA RURAL);LOMBA GRANDE
172;194;EMEB JOSE DE ANCHIETA;ESTRADA ANDRE HAUBERT, 11.740, SAO JOAO DO DESERTO (ZONA RURAL);LOMBA GRANDE
172;12;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;13;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;14;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;15;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;16;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;17;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;18;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;19;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;20;EMEB MACHADO DE ASSIS;RUA WALKIRIA SPINDLER, 110;CANUDOS
172;206;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;207;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;208;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;240;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;241;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;242;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;245;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;249;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;252;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;255;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;258;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;260;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;262;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
172;266;EMEB MARTHA WARTENBERG;RUA SILVIO GILBERTO CHRISTMANN, 1351;CANUDOS
