NM_VOTAVEL,SG_PARTIDO,NR_SECAO,NM_SECAO,ENDERECO,BAIRRO,QT_VOTOS
TARCÍSIO ZIMMERMANN,PDT,430,EMEB SÃO JOÃO,"RUA ARAÚJO VIANA, 74",GUARANI,38
TARCÍSIO ZIMMERMANN,PDT,432,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,54
TARCÍSIO ZIMMERMANN,PDT,436,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,45
TARCÍSIO ZIMMERMANN,PDT,440,EEEF FREDERICA SCHUTZ PACHECO,"RUA LOURENÇO DA VEIGA, 70",OURO BRANCO,22
TARCÍSIO ZIMMERMANN,PDT,441,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,36
TARCÍSIO ZIMMERMANN,PDT,443,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,68
TARCÍSIO ZIMMERMANN,PDT,449,FUNDAÇÃO ESC. TÉC. LIBERATO SALZANO VIEIRA DA CUNHA,"RUA INCONFIDENTES, 395",PRIMAVERA,42
TARCÍSIO ZIMMERMANN,PDT,452,EMEB MONTEIRO LOBATO,"RUA IRMÃ LINA, 240",SAO JORGE,46
TARCÍSIO ZIMMERMANN,PDT,454,EEEM OSVALDO ARANHA,"RUA TIMBAÚVA, 931",IDEAL,30
TARCÍSIO ZIMMERMANN,PDT,455,EEEM OSVALDO ARANHA,"RUA TIMBAÚVA, 931",IDEAL,35
TARCÍSIO ZIMMERMANN,PDT,457,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,42
TARCÍSIO ZIMMERMANN,PDT,462,COLÉGIO ESTADUAL 25 DE JULHO,"RUA JOSÉ DO PATROCÍNIO, 730",RIO BRANCO,36
TARCÍSIO ZIMMERMANN,PDT,463,EMEB PRESIDENTE AFFONSO PENNA,"RUA CAXAMBU, 298",VILA NOVA,34
TARCÍSIO ZIMMERMANN,PDT,464,EEEF OTÁVIO ROSA,"RUA LOPO GONÇALVES, 89",PATRIA NOVA,28
TARCÍSIO ZIMMERMANN,PDT,467,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,51
TARCÍSIO ZIMMERMANN,PDT,468,COLÉGIO ESTADUAL 25 DE JULHO,"RUA JOSÉ DO PATROCÍNIO, 730",RIO BRANCO,28
TARCÍSIO ZIMMERMANN,PDT,471,EMEB PRESIDENTE JOÃO GOULART,"RUA FINLÂNDIA, 507",PETROPOLIS,26
TARCÍSIO ZIMMERMANN,PDT,472,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,49
TARCÍSIO ZIMMERMANN,PDT,474,COLÉGIO MARISTA PIO XII,"AVENIDA NICOLAU BECKER,182",VILA ROSA,29
TARCÍSIO ZIMMERMANN,PDT,475,FUNDAÇÃO ESC. TÉC. LIBERATO SALZANO VIEIRA DA CUNHA,"RUA INCONFIDENTES, 395",PRIMAVERA,47
TARCÍSIO ZIMMERMANN,PDT,477,EEEF OTÁVIO ROSA,"RUA LOPO GONÇALVES, 89",PATRIA NOVA,35
TARCÍSIO ZIMMERMANN,PDT,480,EMEB MONTEIRO LOBATO,"RUA IRMÃ LINA, 240",SAO JORGE,41
TARCÍSIO ZIMMERMANN,PDT,485,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,43
TARCÍSIO ZIMMERMANN,PDT,488,EEEM OSVALDO ARANHA,"RUA TIMBAÚVA, 931",IDEAL,25
TARCÍSIO ZIMMERMANN,PDT,490,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,34
TARCÍSIO ZIMMERMANN,PDT,492,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,69
TARCÍSIO ZIMMERMANN,PDT,493,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,61
TARCÍSIO ZIMMERMANN,PDT,494,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,69
TARCÍSIO ZIMMERMANN,PDT,495,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,74
TARCÍSIO ZIMMERMANN,PDT,496,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,77
TARCÍSIO ZIMMERMANN,PDT,497,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,81
TARCÍSIO ZIMMERMANN,PDT,498,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,86
TARCÍSIO ZIMMERMANN,PDT,499,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,64
TARCÍSIO ZIMMERMANN,PDT,500,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,69
TARCÍSIO ZIMMERMANN,PDT,501,COLÉGIO MARISTA PIO XII,"AVENIDA NICOLAU BECKER,182",VILA ROSA,39
TARCÍSIO ZIMMERMANN,PDT,502,EMEB MONTEIRO LOBATO,"RUA IRMÃ LINA, 240",SAO JORGE,37
TARCÍSIO ZIMMERMANN,PDT,503,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,72
TARCÍSIO ZIMMERMANN,PDT,508,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,49
TARCÍSIO ZIMMERMANN,PDT,509,EMEB IRMÃO NILO,"AV. TARCÍSIO ANTÔNIO BRUXEL, 254 (ESQ. R. SANTO DIAS DA SILVA)",BOA SAUDE,69
TARCÍSIO ZIMMERMANN,PDT,510,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,31
TARCÍSIO ZIMMERMANN,PDT,511,EMEB PRESIDENTE RODRIGUES ALVES,"RUA TAQUARI, 494 (LOT. KEPHAS)",SAO JOSE,42
TARCÍSIO ZIMMERMANN,PDT,512,EEEF PROFESSOR ALFREDO CLEMENTE PINTO,"RUA OSVALDO CRUZ, 663",PRIMAVERA,43
TARCÍSIO ZIMMERMANN,PDT,513,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,53
TARCÍSIO ZIMMERMANN,PDT,514,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,45
TARCÍSIO ZIMMERMANN,PDT,515,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,71
TARCÍSIO ZIMMERMANN,PDT,516,EMEB PRESIDENTE AFFONSO PENNA,"RUA CAXAMBU, 298",VILA NOVA,38
TARCÍSIO ZIMMERMANN,PDT,517,EMEB IRMÃO NILO,"AV. TARCÍSIO ANTÔNIO BRUXEL, 254 (ESQ. R. SANTO DIAS DA SILVA)",BOA SAUDE,70
TARCÍSIO ZIMMERMANN,PDT,518,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,62
TARCÍSIO ZIMMERMANN,PDT,519,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,39
TARCÍSIO ZIMMERMANN,PDT,520,EMEB IRMÃO NILO,"AV. TARCÍSIO ANTÔNIO BRUXEL, 254 (ESQ. R. SANTO DIAS DA SILVA)",BOA SAUDE,77
TARCÍSIO ZIMMERMANN,PDT,521,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,40
TARCÍSIO ZIMMERMANN,PDT,522,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,68
TARCÍSIO ZIMMERMANN,PDT,523,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,31
TARCÍSIO ZIMMERMANN,PDT,524,EMEB IRMÃO NILO,"AV. TARCÍSIO ANTÔNIO BRUXEL, 254 (ESQ. R. SANTO DIAS DA SILVA)",BOA SAUDE,55
TARCÍSIO ZIMMERMANN,PDT,525,EMEB FRANCISCA FELDMANN PEREIRA SAILE,"RUA BENJAMIN ALTMAYER, 249",ROSELANDIA,41
TARCÍSIO ZIMMERMANN,PDT,526,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,79
TARCÍSIO ZIMMERMANN,PDT,527,EMEB IRMÃO NILO,"AV. TARCÍSIO ANTÔNIO BRUXEL, 254 (ESQ. R. SANTO DIAS DA SILVA)",BOA SAUDE,88
TARCÍSIO ZIMMERMANN,PDT,528,EMEB BOA SAÚDE,"AVENIDA 22 DE OUTUBRO, 85",BOA SAUDE,70
TARCÍSIO ZIMMERMANN,PDT,529,COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI,"RUA MARQUÊS DE SOUZA, 528",SAO JOSE,44
TÂNIA DA SILVA,MDB,1,ESCOLA ADVENTISTA DE ENS. FUND. CANUDOS,"RUA VEREADOR CARLOS EMILIO KOLLING, 92",CANUDOS,37
TÂNIA DA SILVA,MDB,2,ESCOLA ADVENTISTA DE ENS. FUND. CANUDOS,"RUA VEREADOR CARLOS EMILIO KOLLING, 92",CANUDOS,11
TÂNIA DA SILVA,MDB,3,ESCOLA ADVENTISTA DE ENS. FUND. CANUDOS,"RUA VEREADOR CARLOS EMILIO KOLLING, 92",CANUDOS,18
TÂNIA DA SILVA,MDB,4,EMEB PRESIDENTE JOÃO GOULART,"RUA FINLÂNDIA, 507",PETROPOLIS,56
TÂNIA DA SILVA,MDB,4,ESCOLA ADVENTISTA DE ENS. FUND. CANUDOS,"RUA VEREADOR CARLOS EMILIO KOLLING, 92",CANUDOS,17
TÂNIA DA SILVA,MDB,5,ESCOLA ADVENTISTA DE ENS. FUND. CANUDOS,"RUA VEREADOR CARLOS EMILIO KOLLING, 92",CANUDOS,16
TÂNIA DA SILVA,MDB,5,FUNDAÇÃO ESC. TÉC. LIBERATO SALZANO VIEIRA DA CUNHA,"RUA INCONFIDENTES, 395",PRIMAVERA,34
TÂNIA DA SILVA,MDB,6,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,47
TÂNIA DA SILVA,MDB,8,EEEF OTÁVIO ROSA,"RUA LOPO GONÇALVES, 89",PATRIA NOVA,27
TÂNIA DA SILVA,MDB,9,COLÉGIO ESTADUAL VILA BECKER,"RUA BENTO MANOEL, 2281",OPERARIO,34
TÂNIA DA SILVA,MDB,10,ESCOLA EVANGÉLICA OSWALDO CRUZ,"RUA BENTO GONÇALVES, 2391",CENTRO,34
TÂNIA DA SILVA,MDB,11,ESCOLA EVANGÉLICA OSWALDO CRUZ,"RUA BENTO GONÇALVES, 2391",CENTRO,22
TÂNIA DA SILVA,MDB,12,COLÉGIO ESTADUAL 25 DE JULHO,"RUA JOSÉ DO PATROCÍNIO, 730",RIO BRANCO,21
TÂNIA DA SILVA,MDB,12,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,30
TÂNIA DA SILVA,MDB,13,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,25
TÂNIA DA SILVA,MDB,13,ESCOLA EVANGÉLICA OSWALDO CRUZ,"RUA BENTO GONÇALVES, 2391",CENTRO,25
TÂNIA DA SILVA,MDB,14,CATEDRAL BASÍLICA SÃO LUIZ GONZAGA,"RUA JOAQUIM NABUCO, 543",CENTRO,30
TÂNIA DA SILVA,MDB,14,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,27
TÂNIA DA SILVA,MDB,15,EEEM DOM PEDRO II,"RUA ESPANHA, 712",RINCAO,47
TÂNIA DA SILVA,MDB,15,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,23
TÂNIA DA SILVA,MDB,16,COLÉGIO SANTA CATARINA,"RUA GENERAL OSÓRIO, 729",HAMBURGO VELHO,25
TÂNIA DA SILVA,MDB,16,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,32
TÂNIA DA SILVA,MDB,17,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,23
TÂNIA DA SILVA,MDB,18,EEEF PROFESSOR ALFREDO CLEMENTE PINTO,"RUA OSVALDO CRUZ, 663",PRIMAVERA,31
TÂNIA DA SILVA,MDB,18,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,21
TÂNIA DA SILVA,MDB,19,CATEDRAL BASÍLICA SÃO LUIZ GONZAGA,"RUA JOAQUIM NABUCO, 543",CENTRO,30
TÂNIA DA SILVA,MDB,19,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,26
TÂNIA DA SILVA,MDB,20,EMEB MACHADO DE ASSIS,"RUA WALKIRIA SPINDLER, 110",CANUDOS,17
TÂNIA DA SILVA,MDB,20,EMEB PRESIDENTE JOÃO GOULART,"RUA FINLÂNDIA, 507",PETROPOLIS,41
TÂNIA DA SILVA,MDB,21,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,37
TÂNIA DA SILVA,MDB,21,COLÉGIO SANTA CATARINA,"RUA GENERAL OSÓRIO, 729",HAMBURGO VELHO,29
TÂNIA DA SILVA,MDB,22,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,29
